"","X","DATE","Month","..MAX","..MIN","AW","SLP","MSP","DPT","RH","VP","Cat","..R.F"
"1",1,1969-01-01,"Jan",-1.12325339559963,-1.51607578813348,-0.182702405603239,0.0407987782763806,0.512948673823138,-1.72343708556448,-0.963904263490973,-1.95974176835401,1,0
"2",2,1969-01-02,"Jan",-1.49908332867533,-1.81540473088465,0.178337414741418,0.243995924736194,0.682996632985276,-1.76052183335483,-0.870464018993888,-2.14823234104141,1,0
"3",3,1969-01-03,"Jan",-1.27358498651596,-2.01495735938543,-0.363222315775567,0.255281592914159,0.699186969948511,-1.36000655014574,-0.963904263490973,-2.30879838444179,1,0
"4",4,1969-01-04,"Jan",-1.27358498651596,-0.997239068216388,-0.543742225947896,0.255281592914159,0.602025179749832,-1.1819997890455,-0.777023774496803,-2.27389272283301,1,0
"5",5,1969-01-05,"Jan",-1.07314254669923,-0.478402157991087,-0.724262136120224,0.379451502499995,0.585824958576973,-0.210379439378557,-0.14630212414148,-2.21106253193721,1,0
"6",6,1969-01-06,"Jan",-0.371593529448231,-1.59589695371872,-0.363222315775567,0.537492196433837,0.715377306911747,-0.529308213788702,-0.33318261313565,-2.24596819354599,1,0
"7",7,1969-01-07,"Jan",-0.346538104998029,-1.01719421688153,-0.00218249543091017,0.751975011071616,0.942101329654842,-0.52189123593721,-0.193022246390022,-2.18313800265019,1,0
"8",8,1969-01-08,"Jan",-0.371593529448231,-1.01719421688153,-0.363222315775567,0.808417131775551,0.966396719309329,-0.447721740356518,-0.0995820018929372,-2.37162857533759,1,0
"9",9,1969-01-09,"Jan",-0.421703900456196,-0.917417902631145,-0.724262136120224,0.808417131775551,0.934006161173215,-0.477389510295387,-0.356542674259921,-2.33672291372881,1,0
"10",10,1969-01-10,"Jan",-0.246316885089665,-0.917417902631145,-0.543742225947896,0.706818558545645,0.836834486764912,-0.52189123593721,-0.496703041005548,-1.97370403299752,1,0
"11",11,1969-01-11,"Jan",-0.221261460639463,-1.17683635774381,-0.543742225947896,0.537492196433837,0.739672696566233,-0.877904899604788,-0.636863407751176,-2.18313800265019,1,0
"12",12,1969-01-12,"Jan",-0.0208185429302943,-0.95732839026967,-0.543742225947896,0.537492196433837,0.739672696566233,-0.996576050093768,-0.777023774496803,-2.16917573800667,1,0
"13",13,1969-01-13,"Jan",0.02929182807767,-0.837596927354136,0.358857324913747,0.740689342893753,0.925910992691607,-0.796318426172609,-0.590143285502633,-1.93181723906698,1,0
"14",14,1969-01-14,"Jan",-0.97292132679086,-1.34978180417735,0.358857324913747,0.876144920657452,1.1931108578428,-1.79760658114518,-0.753663713372532,-2.30879838444179,1,0
"15",15,1969-01-15,"Jan",-1.37380668431676,-2.11473367363581,-0.00218249543091017,0.774546347427545,1.04736817254477,-1.84210828910362,-1.1040646302366,-2.27389272283301,1,0
"16",16,1969-01-16,"Jan",-0.471814749356595,-1.53603112710685,-0.543742225947896,0.797131463597689,1.02307278289029,-1.21166755898436,-0.753663713372532,-1.93181723906698,1,0
"17",17,1969-01-17,"Jan",-0.171150611739063,-1.61585210238387,-0.363222315775567,0.424607955025966,0.723482359602998,-1.3229218023554,-0.660223468875447,-2.14823234104141,1,0
